Year,CO2 (SSP 119),CO2 (SSP 126),CO2 (SSP 245),CO2 (SSP 370),CO2 (SSP 585)
2015,395.4886011,395.4873401,395.4889323,395.4884334,395.4886727
2016,397.6789776,397.6730153,397.6835369,397.6785329,397.6811781
2017,400.2343385,400.2344016,400.2415627,400.2202091,400.2381769
2018,402.9860351,402.9741033,402.9724484,403.0269135,403.0061154
2019,405.7703895,405.7706077,405.7837034,405.9310742,405.863129
2020,408.5787547,408.5693995,408.6197863,408.9352255,408.7833497
2021,411.3271189,411.3027477,411.5348909,412.0001814,411.7910558
2022,414.1052155,414.1405102,414.3832561,415.1464813,414.8923757
2023,416.8808222,416.980323,417.2033456,418.4597811,418.0684593
2024,419.5455253,419.7254695,420.1298211,421.8603407,421.3704606
2025,422.0104756,422.3706229,423.0665899,425.2725092,424.7495843
2026,424.2465087,424.9834219,426.0472181,428.7085286,428.229748
2027,426.2887001,427.5474695,428.9790341,432.3271261,431.8349902
2028,428.2402549,430.0624829,431.9820572,435.9848401,435.5663419
2029,429.9595579,432.4794043,434.9738903,439.6258878,439.3790403
2030,431.5163079,434.8415158,437.9956463,443.3841849,443.3106275
2031,432.9333218,437.1744912,441.0151957,447.2429966,447.4180715
2032,434.1424008,439.4516002,444.1037828,451.1530959,451.5349474
2033,435.2587403,441.6944802,447.184344,455.0779979,455.7729152
2034,436.2352337,443.792072,450.2570525,459.1061298,460.1686391
2035,437.0623974,445.8166382,453.3221511,463.2256185,464.684132
2036,437.7810201,447.8269111,456.4345314,467.3502914,469.2921658
2037,438.4165425,449.7273423,459.5405968,471.5105351,474.0391519
2038,438.9903923,451.5398044,462.6666655,475.7232969,478.9906449
2039,439.3591437,453.2999611,465.8322031,480.0084178,484.0786498
2040,439.6922681,454.9442491,468.9607488,484.3504976,489.2352685
2041,439.9251497,456.5488599,472.0955663,488.6925225,494.5143276
2042,440.0687261,458.0580274,475.2274207,493.1172524,499.969231
2043,440.0957598,459.4974025,478.41196,497.6293961,505.5480129
2044,440.0434407,460.9183617,481.5633545,502.246434,511.2994305
2045,439.9331313,462.2247406,484.733334,506.8118518,517.230524
2046,439.7815953,463.3699486,487.9050368,511.4539962,523.2791613
2047,439.5588192,464.5426995,491.0684953,516.2030474,529.4955351
2048,439.2749104,465.6340136,494.2015806,520.9512321,535.8167411
2049,438.9464104,466.654177,497.3400334,525.7361911,542.2561551
2050,438.5173413,467.5510857,500.4536712,530.632468,548.8952848
2051,437.9989208,468.4274997,503.6208092,535.5589359,555.774956
2052,437.5367634,469.2054749,506.7668611,540.4508362,562.7151429
2053,436.9951241,469.8840902,509.8719887,545.5509104,569.8391011
2054,436.4265663,470.5505365,512.999463,550.6610578,577.2096601
