Year,Temperature (SSP 119),Temperature (SSP 126),Temperature (SSP 245),Temperature (SSP 370),Temperature (SSP 585)
2015,14.12182311,14.19171305,14.15870533,14.13199008,14.10661617
2016,14.28574532,14.25845944,14.34209863,14.31479714,14.32343732
2017,14.52960338,14.43290811,14.50821327,14.45344336,14.49570625
2018,14.45595654,14.24057609,14.58879323,14.46645384,14.35071403
2019,14.23403603,14.33893436,14.57467273,14.24412665,14.30939185
2020,14.39090848,14.54524411,14.32297633,14.34642425,14.28177656
2021,14.54575807,14.67761047,14.3860152,14.55361013,14.49277254
2022,14.63554207,14.46457419,14.57588344,14.54395143,14.62402534
2023,14.46861682,14.39985584,14.66472012,14.30641768,14.37495247
2024,14.42503972,14.46393168,14.58325934,14.45114345,14.36613625
2025,14.63087794,14.65064929,14.58256131,14.53527148,14.55492977
2026,14.56927323,14.6299153,14.6984293,14.45720666,14.5530818
2027,14.51625251,14.48343786,14.60684454,14.43359442,14.43802099
2028,14.52603217,14.5447709,14.5857516,14.517062,14.67122691
2029,14.58988186,14.71777643,14.58883052,14.57029858,14.7394967
2030,14.56598198,14.68659157,14.74638119,14.58123144,14.46208923
2031,14.77133452,14.67851363,14.64720538,14.58121773,14.66974079
2032,14.71263731,14.57861271,14.67591237,14.63302092,14.75817628
2033,14.71098072,14.77216501,14.55418198,14.65479956,14.71785769
2034,14.70378585,14.78701275,14.6466797,14.67480005,14.60216736
2035,14.92049121,14.58901319,14.78657467,14.74867618,14.61688089
2036,14.88712938,14.65203698,14.8212123,14.80341758,14.88314261
2037,14.64475389,14.79310559,14.88291044,14.94526995,14.88840536
2038,14.68390788,14.6706722,14.84951638,14.80307245,14.85181626
2039,14.72778707,14.66375893,14.8047295,14.72171079,14.91145503
2040,14.66186273,14.6147559,14.7538689,14.80764239,15.00501687
2041,14.62307085,14.8265827,14.79533758,14.92574476,14.91446805
2042,14.79053396,14.81015436,14.67444164,14.96439278,14.88785793
2043,14.70081966,14.81976027,14.77775577,14.88066844,15.03992085
2044,14.77037588,14.66071187,14.81712714,14.92661043,15.19133157
2045,14.6908439,14.75657814,14.79885815,15.05906508,15.20849896
2046,14.74253427,14.879436,14.89223709,15.04855426,14.9529225
2047,14.85873994,14.77390528,14.9872149,15.19552646,15.06719007
2048,14.49878314,14.74651826,14.85970636,15.24008139,15.30381853
2049,14.5356619,14.89598739,15.04424025,15.10680767,15.38144659
2050,14.7052133,14.80233319,14.95594202,15.06910166,15.19233233
2051,14.83113701,14.81332752,15.01574228,15.21407376,15.32797006
2052,14.77849105,14.81353358,15.01078192,15.12871782,15.42853813
2053,14.68541426,14.74095995,15.19906734,15.19874775,15.41117283
2054,14.76091969,14.86147792,15.00400733,15.16123579,15.55596243
2055,14.55103337,14.97036416,15.10304926,15.01314476,15.64789377
2056,14.44030978,14.91093056,15.26123222,15.31959497,15.41879037
2057,14.49039439,14.80073461,15.33285461,15.6019767,15.56035752
2058,14.59317656,14.67780121,15.00152205,15.46274994,15.61906509
2059,14.63725604,14.76157808,15.22465982,15.38401195,15.69883809
2060,14.49591612,14.92311052,15.34051168,15.67248431,15.58536854
2061,14.6898575,14.97822589,15.39791779,15.59769748,15.80028072
