year,co2
1750,9.351
1751,9.351
1752,9.354
1753,9.354
1754,9.358
1755,9.362
1756,10.006
1757,10.01
1758,10.014
1759,10.017
1760,10.017
1761,10.974
1762,10.977
1763,10.981
1764,10.985
1765,10.988
1766,12.26
1767,12.263
1768,12.267
1769,12.271
1770,12.274
1771,13.612
1772,13.615
1773,13.619
1774,13.623
1775,13.626
1776,15.037
1777,15.041
1778,15.044
1779,15.048
1780,15.055
1781,16.843
1782,16.847
1783,16.854
1784,16.858
1785,16.869
1786,19.152
1787,19.159
1788,19.163
1789,19.17
1790,19.177
1791,21.42
1792,21.896
1793,21.914
1794,21.881
1795,21.892
1796,22.951
1797,24.094
1798,25.095
1799,26.428
1800,28.092
1801,27.96
1802,36.783
1803,31.488
1804,34.31
1805,33.419
1806,35.046
1807,36.874
1808,35.064
1809,35.09
1810,37.38
1811,39.582
1812,41.007
1813,41.22
1814,42.129
1815,43.488
1816,47.665
1817,49.431
1818,49.644
1819,49.948
1820,50.688
1821,51.435
1822,53.465
1823,56.55
1824,58.525
1825,60.756
1826,61.42
1827,65.915
1828,66.637
1829,66.395
1830,89.123
1831,84.528
1832,85.111
1833,86.807
1834,88.486
1835,90.446
1836,104.776
1837,104.691
1838,108.044
1839,111.613
1840,118.93
1841,122.619
1842,129.504
1843,132.853
1844,141.423
1845,155.211
1846,157.794
1847,172.402
1848,173.816
1849,183.511
1850,196.896
1851,198.805
1852,207.551
1853,217.209
1854,255.139
1855,260.166
1856,277.292
1857,279.889
1858,284.172
1859,301.313
1860,330.642
1861,347.735
1862,354.058
1863,377.86
1864,407.091
1865,432.308
1866,445.971
1867,477.815
1868,490.752
1869,521.131
1870,532.537
1871,566.143
1872,626.372
1873,665.419
1874,622.997
1875,675.799
1876,685.553
1877,699.099
1878,704.383
1879,754.87
1880,853.708
1881,882.408
1882,931.925
1883,991.036
1884,1002.179
1885,1009.675
1886,1025.48
1887,1076.762
1888,1192.277
1889,1191.805
1890,1298.465
1891,1358.881
1892,1370.085
1893,1353.676
1894,1400.866
1895,1485.283
1896,1533.713
1897,1606.313
1898,1694.28
1899,1850.909
1900,1953.614
1901,2018.421
1902,2069.946
1903,2258.613
1904,2282.759
1905,2431.145
1906,2554.215
1907,2887.833
1908,2779.288
1909,2890.654
1910,3032.156
1911,3087.264
1912,3233.403
1913,3498.266
1914,3173.996
1915,3130.389
1916,3378.662
1917,3533.556
1918,3483.435
1919,3019.921
1920,3513.395
1921,3083.123
1922,3234.231
1923,3670.605
1924,3682.986
1925,3709.804
1926,3642.2
1927,3978.374
1928,3959.653
1929,4252.19
1930,3919.399
1931,3502.982
1932,3157.845
1933,3324.972
1934,3616.315
1935,3794.457
1936,4168.554
1937,4456.655
1938,4193.546
1939,4435.793
1940,4847.084
1941,4955.476
1942,4935.659
1943,5018.865
1944,5101.04
1945,4240.829
1946,4629.673
1947,5125.894
1948,5396.503
1949,5239.276
1950,5998.35
1951,6373.785
1952,6460.163
1953,6641.785
1954,6784.944
1955,7437.038
1956,7917.91
1957,8179.34
1958,8412.113
1959,8848.509
1960,9334.894
1961,9356.003
1962,9687.509
1963,10236.031
1964,10769.609
1965,11269.289
1966,11793.838
1967,12171.497
1968,12835.996
1969,13691.842
1970,14826.863
1971,15425.831
1972,16142.605
1973,17000.713
1974,16925.872
1975,16902.973
1976,17799.76
1977,18287.936
1978,18958.832
1979,19464.238
1980,19369.452
1981,18841.367
1982,18700.965
1983,18876.275
1984,19426.234
1985,20116.824
1986,20401.695
1987,21062.704
1988,21865.971
1989,22193.362
1990,22697.612
1991,23169.529
1992,22444.951
1993,22682.603
1994,22843.788
1995,23332.159
1996,24050.844
1997,24191.148
1998,24112.119
1999,24431.051
2000,25119.042
2001,25332.203
2002,25911.186
2003,27176.184
2004,28470.451
2005,29410.889
2006,30374.554
2007,31293.862
2008,31946.034
2009,31464.2
2010,33131.911
2011,34209.583
2012,34760.008
2013,34987.264
2014,35244.868
2015,35209.447
2016,35220.412
2017,35696.349
2018,36419.712
2019,36441.388
