year,CO2 (PgC/yr); RCP 2.6,CO2 (PgC/yr); RCP 4.5,CO2 (PgC/yr); RCP 6.0,CO2 (PgC/yr); RCP 8.5,,,,,
1750,0.002550273,0.002550273,0.002550273,0.002550273,,,,,
1751,0.002550273,0.002550273,0.002550273,0.002550273,,,,,
1752,0.002551091,0.002551091,0.002551091,0.002551091,,,,,
1753,0.002551091,0.002551091,0.002551091,0.002551091,,,,,
1754,0.002552182,0.002552182,0.002552182,0.002552182,,,,,
1755,0.002553273,0.002553273,0.002553273,0.002553273,,,,,
1756,0.002728909,0.002728909,0.002728909,0.002728909,,,,,
1757,0.00273,0.00273,0.00273,0.00273,,,,,
1758,0.002731091,0.002731091,0.002731091,0.002731091,,,,,
1759,0.002731909,0.002731909,0.002731909,0.002731909,,,,,
1760,0.002731909,0.002731909,0.002731909,0.002731909,,,,,
1761,0.002992909,0.002992909,0.002992909,0.002992909,,,,,
1762,0.002993727,0.002993727,0.002993727,0.002993727,,,,,
1763,0.002994818,0.002994818,0.002994818,0.002994818,,,,,
1764,0.002995909,0.002995909,0.002995909,0.002995909,,,,,
1765,0.002996727,0.002996727,0.002996727,0.002996727,,,,,
1766,0.003343636,0.003343636,0.003343636,0.003343636,,,,,
1767,0.003344455,0.003344455,0.003344455,0.003344455,,,,,
1768,0.003345545,0.003345545,0.003345545,0.003345545,,,,,
1769,0.003346636,0.003346636,0.003346636,0.003346636,,,,,
1770,0.003347455,0.003347455,0.003347455,0.003347455,,,,,
1771,0.003712364,0.003712364,0.003712364,0.003712364,,,,,
1772,0.003713182,0.003713182,0.003713182,0.003713182,,,,,
1773,0.003714273,0.003714273,0.003714273,0.003714273,,,,,
1774,0.003715364,0.003715364,0.003715364,0.003715364,,,,,
1775,0.003716182,0.003716182,0.003716182,0.003716182,,,,,
1776,0.004101,0.004101,0.004101,0.004101,,,,,
1777,0.004102091,0.004102091,0.004102091,0.004102091,,,,,
1778,0.004102909,0.004102909,0.004102909,0.004102909,,,,,
1779,0.004104,0.004104,0.004104,0.004104,,,,,
1780,0.004105909,0.004105909,0.004105909,0.004105909,,,,,
1781,0.004593545,0.004593545,0.004593545,0.004593545,,,,,
1782,0.004594636,0.004594636,0.004594636,0.004594636,,,,,
1783,0.004596545,0.004596545,0.004596545,0.004596545,,,,,
1784,0.004597636,0.004597636,0.004597636,0.004597636,,,,,
1785,0.004600636,0.004600636,0.004600636,0.004600636,,,,,
1786,0.005223273,0.005223273,0.005223273,0.005223273,,,,,
1787,0.005225182,0.005225182,0.005225182,0.005225182,,,,,
1788,0.005226273,0.005226273,0.005226273,0.005226273,,,,,
1789,0.005228182,0.005228182,0.005228182,0.005228182,,,,,
1790,0.005230091,0.005230091,0.005230091,0.005230091,,,,,
1791,0.005841818,0.005841818,0.005841818,0.005841818,,,,,
1792,0.005971636,0.005971636,0.005971636,0.005971636,,,,,
1793,0.005976545,0.005976545,0.005976545,0.005976545,,,,,
1794,0.005967545,0.005967545,0.005967545,0.005967545,,,,,
1795,0.005970545,0.005970545,0.005970545,0.005970545,,,,,
1796,0.006259364,0.006259364,0.006259364,0.006259364,,,,,
1797,0.006571091,0.006571091,0.006571091,0.006571091,,,,,
1798,0.006844091,0.006844091,0.006844091,0.006844091,,,,,
1799,0.007207636,0.007207636,0.007207636,0.007207636,,,,,
1800,0.007661455,0.007661455,0.007661455,0.007661455,,,,,
1801,0.007625455,0.007625455,0.007625455,0.007625455,,,,,
1802,0.010031727,0.010031727,0.010031727,0.010031727,,,,,
1803,0.008587636,0.008587636,0.008587636,0.008587636,,,,,
1804,0.009357273,0.009357273,0.009357273,0.009357273,,,,,
1805,0.009114273,0.009114273,0.009114273,0.009114273,,,,,
1806,0.009558,0.009558,0.009558,0.009558,,,,,
1807,0.010056545,0.010056545,0.010056545,0.010056545,,,,,
1808,0.009562909,0.009562909,0.009562909,0.009562909,,,,,
1809,0.00957,0.00957,0.00957,0.00957,,,,,
1810,0.010194545,0.010194545,0.010194545,0.010194545,,,,,
1811,0.010795091,0.010795091,0.010795091,0.010795091,,,,,
1812,0.011183727,0.011183727,0.011183727,0.011183727,,,,,
1813,0.011241818,0.011241818,0.011241818,0.011241818,,,,,
1814,0.011489727,0.011489727,0.011489727,0.011489727,,,,,
1815,0.011860364,0.011860364,0.011860364,0.011860364,,,,,
1816,0.012999545,0.012999545,0.012999545,0.012999545,,,,,
1817,0.013481182,0.013481182,0.013481182,0.013481182,,,,,
1818,0.013539273,0.013539273,0.013539273,0.013539273,,,,,
1819,0.013622182,0.013622182,0.013622182,0.013622182,,,,,
1820,0.013824,0.013824,0.013824,0.013824,,,,,
1821,0.014027727,0.014027727,0.014027727,0.014027727,,,,,
1822,0.014581364,0.014581364,0.014581364,0.014581364,,,,,
1823,0.015422727,0.015422727,0.015422727,0.015422727,,,,,
1824,0.015961364,0.015961364,0.015961364,0.015961364,,,,,
1825,0.016569818,0.016569818,0.016569818,0.016569818,,,,,
1826,0.016750909,0.016750909,0.016750909,0.016750909,,,,,
1827,0.017976818,0.017976818,0.017976818,0.017976818,,,,,
1828,0.018173727,0.018173727,0.018173727,0.018173727,,,,,
1829,0.018107727,0.018107727,0.018107727,0.018107727,,,,,
1830,0.024306273,0.024306273,0.024306273,0.024306273,,,,,
1831,0.023053091,0.023053091,0.023053091,0.023053091,,,,,
1832,0.023212091,0.023212091,0.023212091,0.023212091,,,,,
1833,0.023674636,0.023674636,0.023674636,0.023674636,,,,,
1834,0.024132545,0.024132545,0.024132545,0.024132545,,,,,
1835,0.024667091,0.024667091,0.024667091,0.024667091,,,,,
1836,0.028575273,0.028575273,0.028575273,0.028575273,,,,,
1837,0.028552091,0.028552091,0.028552091,0.028552091,,,,,
1838,0.029466545,0.029466545,0.029466545,0.029466545,,,,,
1839,0.030439909,0.030439909,0.030439909,0.030439909,,,,,
1840,0.032435455,0.032435455,0.032435455,0.032435455,,,,,
1841,0.033441545,0.033441545,0.033441545,0.033441545,,,,,
1842,0.035319273,0.035319273,0.035319273,0.035319273,,,,,
1843,0.036232636,0.036232636,0.036232636,0.036232636,,,,,
1844,0.038569909,0.038569909,0.038569909,0.038569909,,,,,
1845,0.042330273,0.042330273,0.042330273,0.042330273,,,,,
1846,0.043034727,0.043034727,0.043034727,0.043034727,,,,,
1847,0.047018727,0.047018727,0.047018727,0.047018727,,,,,
1848,0.047404364,0.047404364,0.047404364,0.047404364,,,,,
1849,0.050048455,0.050048455,0.050048455,0.050048455,,,,,
1850,0.053698909,0.053698909,0.053698909,0.053698909,,,,,
1851,0.054219545,0.054219545,0.054219545,0.054219545,,,,,
1852,0.056604818,0.056604818,0.056604818,0.056604818,,,,,
1853,0.059238818,0.059238818,0.059238818,0.059238818,,,,,
1854,0.069583364,0.069583364,0.069583364,0.069583364,,,,,
1855,0.070954364,0.070954364,0.070954364,0.070954364,,,,,
1856,0.075625091,0.075625091,0.075625091,0.075625091,,,,,
1857,0.076333364,0.076333364,0.076333364,0.076333364,,,,,
1858,0.077501455,0.077501455,0.077501455,0.077501455,,,,,
1859,0.082176273,0.082176273,0.082176273,0.082176273,,,,,
1860,0.090175091,0.090175091,0.090175091,0.090175091,,,,,
1861,0.094836818,0.094836818,0.094836818,0.094836818,,,,,
1862,0.096561273,0.096561273,0.096561273,0.096561273,,,,,
1863,0.103052727,0.103052727,0.103052727,0.103052727,,,,,
1864,0.111024818,0.111024818,0.111024818,0.111024818,,,,,
1865,0.117902182,0.117902182,0.117902182,0.117902182,,,,,
1866,0.121628455,0.121628455,0.121628455,0.121628455,,,,,
1867,0.130313182,0.130313182,0.130313182,0.130313182,,,,,
1868,0.133841455,0.133841455,0.133841455,0.133841455,,,,,
1869,0.142126636,0.142126636,0.142126636,0.142126636,,,,,
1870,0.145237364,0.145237364,0.145237364,0.145237364,,,,,
1871,0.154402636,0.154402636,0.154402636,0.154402636,,,,,
1872,0.170828727,0.170828727,0.170828727,0.170828727,,,,,
1873,0.181477909,0.181477909,0.181477909,0.181477909,,,,,
1874,0.169908273,0.169908273,0.169908273,0.169908273,,,,,
1875,0.184308818,0.184308818,0.184308818,0.184308818,,,,,
1876,0.186969,0.186969,0.186969,0.186969,,,,,
1877,0.190663364,0.190663364,0.190663364,0.190663364,,,,,
1878,0.192104455,0.192104455,0.192104455,0.192104455,,,,,
1879,0.205873636,0.205873636,0.205873636,0.205873636,,,,,
1880,0.232829455,0.232829455,0.232829455,0.232829455,,,,,
1881,0.240656727,0.240656727,0.240656727,0.240656727,,,,,
1882,0.254161364,0.254161364,0.254161364,0.254161364,,,,,
1883,0.270282545,0.270282545,0.270282545,0.270282545,,,,,
1884,0.273321545,0.273321545,0.273321545,0.273321545,,,,,
1885,0.275365909,0.275365909,0.275365909,0.275365909,,,,,
1886,0.279676364,0.279676364,0.279676364,0.279676364,,,,,
1887,0.293662364,0.293662364,0.293662364,0.293662364,,,,,
1888,0.325166455,0.325166455,0.325166455,0.325166455,,,,,
1889,0.325037727,0.325037727,0.325037727,0.325037727,,,,,
1890,0.354126818,0.354126818,0.354126818,0.354126818,,,,,
1891,0.370603909,0.370603909,0.370603909,0.370603909,,,,,
1892,0.373659545,0.373659545,0.373659545,0.373659545,,,,,
1893,0.369184364,0.369184364,0.369184364,0.369184364,,,,,
1894,0.382054364,0.382054364,0.382054364,0.382054364,,,,,
1895,0.405077182,0.405077182,0.405077182,0.405077182,,,,,
1896,0.418285364,0.418285364,0.418285364,0.418285364,,,,,
1897,0.438085364,0.438085364,0.438085364,0.438085364,,,,,
1898,0.462076364,0.462076364,0.462076364,0.462076364,,,,,
