Year,Temp;rcp 2.6,Temp;rcp 4.5,Temp;rcp 6.0,Temp;rcp 8.5
1850,-0.62,-0.62,-0.62,-0.62
1860,-0.635,-0.635,-0.635,-0.635
1870,-0.558,-0.558,-0.558,-0.558
1880,-0.597,-0.597,-0.597,-0.597
1890,-0.659,-0.659,-0.659,-0.659
1900,-0.71,-0.71,-0.71,-0.71
1910,-0.687,-0.687,-0.687,-0.687
1920,-0.542,-0.542,-0.542,-0.542
1930,-0.416,-0.416,-0.416,-0.416
1940,-0.302,-0.302,-0.302,-0.302
1950,-0.361,-0.361,-0.361,-0.361
1960,-0.354,-0.354,-0.354,-0.354
1970,-0.377,-0.377,-0.377,-0.377
1980,-0.205,-0.205,-0.205,-0.205
1990,-0.03,-0.03,-0.03,-0.03
2000,0.153,0.153,0.153,0.153
2010,0.36,0.36,0.36,0.37
2020,0.55,0.59,0.55,0.66
2030,0.74,0.82,0.74,0.94
2040,0.88,1.04,0.95,1.29
2050,0.94,1.24,1.15,1.70
2060,0.93,1.44,1.32,2.16
2070,0.89,1.54,1.58,2.60
2080,0.94,1.62,1.81,3.05
2090,0.94,1.68,2.03,3.57
